state,zip,votes_dem,votes_gop,votes_other
AK,99764.0,,,
AK,99765.0,,,
AK,99766.0,,,
AK,99767.0,,,
AK,99768.0,,,
AK,99769.0,,,
AK,99770.0,,,
AK,99771.0,,,
AK,99772.0,,,
AK,99773.0,,,
AK,99774.0,,,
AK,99775.0,,,
AK,99776.0,,,
AK,99777.0,,,
AK,99778.0,,,
AK,99780.0,19.5,71.1,9.400000000000007
AK,99781.0,57.099999999999994,29.799999999999994,13.100000000000003
AK,99782.0,,,
AK,99783.0,,,
AK,99784.0,,,
AK,99785.0,,,
AK,99786.0,,,
AK,99788.0,,,
AK,99789.0,,,
AK,99790.0,33.0,53.900000000000006,13.099999999999994
AK,99791.0,,,
AK,99801.0,53.1,34.599999999999994,12.299999999999995
AK,99811.0,,,
AK,99820.0,,,
AK,99824.0,53.1,34.599999999999994,12.299999999999995
AK,99825.0,,,
AK,99826.0,,,
AK,99827.0,44.6,40.7,14.7
AK,99829.0,,,
AK,99830.0,33.4,53.7,12.899999999999995
AK,99832.0,,,
AK,99833.0,,,
AK,99835.0,47.699999999999996,40.900000000000006,11.400000000000002
AK,99836.0,,,
AK,99840.0,,,
AK,99841.0,,,
AK,99901.0,31.4,55.099999999999994,13.499999999999998
AK,99903.0,,,
AK,99918.0,,,
AK,99919.0,,,
AK,99921.0,,,
AK,99922.0,,,
AK,99923.0,,,
AK,99925.0,,,
AK,99926.0,,,
AK,99927.0,,,
AK,99928.0,,,
AK,99929.0,,,
AL,35004.0,14.629517357724648,83.2406357909165,2.1298468513588316
AL,35005.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35006.0,50.57123542952655,46.73246954397814,2.6962950264953167
AL,35007.0,23.110031449076686,73.4275461656318,3.462422385291509
AL,35010.0,28.612654272342724,69.92583175802754,1.4615139696297215
AL,35013.0,,,
AL,35014.0,36.45011740622554,62.002528749473186,1.5473538443012824
AL,35015.0,,,
AL,35016.0,13.388274973586785,84.26715992450146,2.3445651019117624
AL,35019.0,12.294198411918536,85.41489962803269,2.2909019600487706
AL,35020.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35021.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35022.0,51.139012379259995,46.10441629521677,2.7565713255232334
AL,35023.0,52.24931147043718,45.02207775644496,2.7286107731178757
AL,35031.0,8.469902300661834,89.85187519697448,1.6782225023636936
AL,35032.0,,,
AL,35033.0,10.392082773532342,87.44649190620919,2.161425320258458
AL,35034.0,21.422039323273893,76.96616369455876,1.6117969821673523
AL,35035.0,21.46317544617296,76.87992809941726,1.6568964544097662
AL,35036.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35038.0,,,
AL,35040.0,22.78198391544061,73.84427584310633,3.373740241453074
AL,35042.0,21.45738872004755,76.93154427944705,1.611067000505408
AL,35043.0,23.110031449076686,73.42754616563181,3.462422385291509
AL,35044.0,36.45011740622554,62.00252874947317,1.5473538443012822
AL,35045.0,15.935360175294441,82.54176937825254,1.5228704464530265
AL,35046.0,16.48585156489823,81.99856186308313,1.5155865720186306
AL,35048.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35049.0,8.469902300661834,89.85187519697448,1.6782225023636934
AL,35051.0,23.110031449076686,73.42754616563181,3.462422385291509
AL,35052.0,,,
AL,35053.0,9.859645244552707,88.0179845768196,2.1223701786277074
AL,35054.0,14.629517357724648,83.24063579091651,2.129846851358832
AL,35055.0,10.005901604163315,87.81050485541071,2.1835935404259885
AL,35056.0,10.005901604163315,87.81050485541071,2.1835935404259885
AL,35057.0,10.005901604163315,87.81050485541068,2.1835935404259885
AL,35058.0,10.005901604163315,87.81050485541071,2.1835935404259885
AL,35060.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35061.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35062.0,39.63236748175606,57.93000930646962,2.437623211774323
AL,35063.0,16.222420910884676,81.88556721482526,1.892011874290061
AL,35064.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35068.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35070.0,,,
AL,35071.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35072.0,28.756608273269297,69.8291830745406,1.414208652190106
AL,35073.0,52.24931147043716,45.02207775644494,2.7286107731178753
AL,35074.0,,,
AL,35077.0,10.005901604163313,87.81050485541068,2.1835935404259885
AL,35078.0,23.110031449076686,73.4275461656318,3.462422385291509
AL,35079.0,8.588104676380073,89.73083682160745,1.6810585020124835
AL,35080.0,23.16369443984724,73.37523456466025,3.4610709954924976
AL,35082.0,18.776628119293974,79.5800365185636,1.6433353621424223
AL,35083.0,10.005901604163313,87.8105048554107,2.1835935404259885
AL,35085.0,15.935360175294441,82.54176937825252,1.5228704464530265
AL,35087.0,15.573548008486698,81.98051895071029,2.445933040803022
AL,35089.0,32.46878107087311,66.20386378708685,1.327355142040019
AL,35091.0,52.24931147043718,45.022077756444936,2.7286107731178753
AL,35094.0,40.096905691984375,57.250634526581,2.652459781434622
AL,35096.0,36.17060974623661,62.23790085942601,1.5914893943373805
AL,35097.0,8.469902300661834,89.85187519697448,1.6782225023636936
AL,35098.0,9.802950911676533,88.0984113317445,2.098637756578974
AL,35111.0,45.02377291407771,52.253235229322534,2.7229918565997675
AL,35112.0,,,
AL,35114.0,23.110031449076686,73.4275461656318,3.462422385291508
AL,35115.0,21.97569473827034,74.88486896613493,3.1394362955947157
AL,35116.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35117.0,52.24931147043718,45.02207775644495,2.728610773117876
AL,35118.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35119.0,,,
AL,35120.0,14.629517357724648,83.2406357909165,2.129846851358832
AL,35121.0,8.554985611559438,89.76134489268777,1.6836694957527911
AL,35123.0,,,
AL,35124.0,23.11003144907669,73.42754616563181,3.462422385291509
AL,35125.0,14.629517357724648,83.24063579091651,2.1298468513588316
AL,35126.0,50.95230805102252,46.350199850248245,2.6974920987292372
AL,35127.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35128.0,14.638550188710589,83.23018359673581,2.131266214553604
AL,35130.0,27.964554653791794,69.86691965948181,2.1685256867264013
AL,35131.0,14.62951735772465,83.24063579091651,2.129846851358832
AL,35133.0,8.810322302251846,89.48845101116748,1.7012266865806713
AL,35135.0,14.629517357724648,83.24063579091651,2.1298468513588316
AL,35136.0,34.06118678002683,64.65431196611395,1.2845012538592133
AL,35137.0,,,
AL,35139.0,,,
AL,35142.0,,,
AL,35143.0,23.110031449076686,73.42754616563181,3.462422385291509
AL,35146.0,14.539002246643543,83.36287686058643,2.098120892770048
AL,35147.0,23.110031449076686,73.4275461656318,3.462422385291508
AL,35148.0,16.420422854002243,81.6772964995333,1.9022806464644395
AL,35149.0,36.45011740622554,62.00252874947317,1.5473538443012824
AL,35150.0,36.43387702702877,62.02058199689251,1.5455409760787182
AL,35151.0,35.877093943954385,62.639517222225216,1.4833888338203987
AL,35160.0,35.93950768587167,62.51036544095946,1.5501268731688898
AL,35171.0,15.935360175294438,82.54176937825252,1.5228704464530265
AL,35172.0,20.24482770155794,77.79443699463458,1.960735303807474
AL,35173.0,45.69754747169137,51.67812089862718,2.6243316296814387
AL,35175.0,16.1518380046245,81.36526066419877,2.4829013311767274
AL,35176.0,23.110031449076686,73.42754616563181,3.462422385291509
AL,35178.0,20.70950198019002,76.20527998843669,3.0852180313732918
AL,35179.0,10.171353108656316,87.63796663570939,2.190680255634292
AL,35180.0,32.98950713467299,64.74397769731095,2.2665151680160616
AL,35181.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35182.0,,,
AL,35183.0,34.080030633735404,64.6371816963431,1.2827876699215013
AL,35184.0,21.78611114622174,76.57796013443324,1.6359287193450212
AL,35185.0,,,
AL,35186.0,23.110031449076686,73.42754616563181,3.462422385291509
AL,35187.0,,,
AL,35188.0,23.157759365297775,75.11539509005897,1.7268455446432585
AL,35201.0,52.24931147043718,45.022077756444936,2.728610773117875
AL,35202.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35203.0,52.249311470437185,45.02207775644494,2.7286107731178757
AL,35204.0,52.249311470437185,45.02207775644495,2.7286107731178757
AL,35205.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35206.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35207.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35208.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35209.0,52.249311470437185,45.02207775644494,2.7286107731178757
AL,35210.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35211.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35212.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35213.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35214.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35215.0,52.249311470437185,45.02207775644495,2.7286107731178757
AL,35216.0,51.57197219384779,45.68235966489832,2.745668141253884
AL,35217.0,52.249311470437185,45.02207775644495,2.728610773117876
AL,35218.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35219.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35220.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35221.0,52.24931147043718,45.02207775644495,2.7286107731178753
AL,35222.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35223.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35224.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35226.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35228.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35229.0,,,
AL,35231.0,52.24931147043718,45.02207775644495,2.7286107731178753
AL,35232.0,52.24931147043718,45.022077756444936,2.7286107731178757
AL,35233.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35234.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35235.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35236.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35238.0,23.110031449076686,73.42754616563181,3.462422385291508
AL,35242.0,26.41212572974137,70.20860819925723,3.3792660710013944
AL,35243.0,51.99218780047465,45.27272630640983,2.7350858931155178
AL,35244.0,38.811738070809604,58.12125407169522,3.06700785749518
AL,35249.0,,,
AL,35253.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35254.0,,,
AL,35255.0,52.24931147043718,45.02207775644494,2.7286107731178753
AL,35259.0,52.24931147043718,45.02207775644495,2.7286107731178753
AL,35260.0,52.24931147043718,45.02207775644494,2.7286107731178757
AL,35261.0,52.24931147043718,45.02207775644495,2.7286107731178753
AL,35266.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35270.0,,,
AL,35285.0,,,
AL,35293.0,,,
AL,35294.0,52.24931147043718,45.02207775644495,2.7286107731178757
AL,35295.0,,,
AL,35401.0,38.8529886914378,58.37984040730405,2.767170901258139
AL,35402.0,38.85298869143781,58.37984040730406,2.767170901258139
AL,35403.0,38.8529886914378,58.37984040730406,2.767170901258139
AL,35404.0,38.85298869143781,58.37984040730406,2.767170901258139
AL,35405.0,38.85298869143781,58.37984040730406,2.7671709012581385
AL,35406.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35407.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35440.0,,,
AL,35441.0,59.57553058676655,39.600499375780274,0.8239700374531835
AL,35442.0,45.161873285249314,54.08127325478013,0.7568534599705603
AL,35443.0,82.39407651172358,17.235705470999587,0.37021801727684084
AL,35444.0,39.344656954443394,57.88958736782933,2.7657556777272667
AL,35446.0,38.8529886914378,58.37984040730405,2.7671709012581385
AL,35447.0,41.836949652412045,57.446808510638306,0.7162418369496525
AL,35448.0,,,
AL,35449.0,,,
AL,35452.0,38.85298869143781,58.37984040730406,2.767170901258139
AL,35453.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35456.0,38.8229534122513,58.41186651197526,2.7651800757734364
AL,35457.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35458.0,38.85298869143781,58.37984040730406,2.767170901258139
AL,35459.0,74.1511500547645,24.737912689719916,1.1109372555155685
AL,35460.0,74.15115005476451,24.73791268971992,1.1109372555155688
AL,35461.0,41.836949652412045,57.44680851063829,0.7162418369496524
AL,35462.0,82.39407651172357,17.235705470999587,0.3702180172768408
AL,35463.0,40.5604638969641,56.7663623392656,2.6731737637703157
AL,35464.0,75.26941296178575,23.720138226088846,1.0104488121254076
AL,35466.0,41.56055174087119,57.5332332564752,0.9062150026536193
AL,35468.0,,,
AL,35469.0,67.8768411039064,30.95376173515765,1.169397160935968
AL,35470.0,74.15115005476451,24.73791268971992,1.1109372555155688
AL,35471.0,,,
AL,35473.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35474.0,54.362254792461385,44.32491419550438,1.312831012034243
AL,35475.0,38.8529886914378,58.37984040730405,2.7671709012581385
AL,35476.0,38.8529886914378,58.37984040730406,2.7671709012581385
AL,35477.0,,,
AL,35478.0,,,
AL,35480.0,43.58346916326018,53.90977462370334,2.5067562130364736
AL,35481.0,41.836949652412045,57.446808510638306,0.7162418369496524
AL,35482.0,,,
AL,35486.0,38.85298869143781,58.37984040730406,2.767170901258139
AL,35487.0,,,
AL,35490.0,38.852988691437794,58.37984040730405,2.7671709012581385
AL,35491.0,,,
AL,35501.0,15.340423349177579,82.78220428820572,1.8773723626166943
AL,35502.0,15.340423349177584,82.78220428820573,1.8773723626166947
AL,35503.0,15.081244694026969,83.05375738646184,1.864997919511186
AL,35504.0,15.340423349177582,82.78220428820573,1.8773723626166947
AL,35540.0,8.574056916000208,89.8417241322464,1.5842189517534018
AL,35541.0,8.499682669466424,89.9472316670429,1.5530856634906858
AL,35542.0,16.569058077110785,81.80819912152269,1.62274280136652
AL,35543.0,11.090458488228004,87.30638166047088,1.6031598513011152
AL,35544.0,14.932910113980666,83.95613908526909,1.1109508007502524
AL,35545.0,,,
AL,35546.0,23.25368844962567,74.77119085504445,1.9751206953298843
AL,35548.0,11.090458488228006,87.30638166047088,1.6031598513011152
AL,35549.0,15.466822559160317,82.68200080153159,1.8511766393080962
AL,35550.0,15.340423349177582,82.78220428820573,1.8773723626166947
AL,35551.0,,,
AL,35552.0,13.007435185709726,85.63496518653805,1.3575996277522289
AL,35553.0,8.493417844953681,89.95611896635788,1.5504631886884448
AL,35554.0,15.835627145773321,82.45008025900756,1.714292595219108
AL,35555.0,16.99950136965846,81.3660256961064,1.6344729342351447
AL,35559.0,,,
AL,35560.0,,,
AL,35563.0,11.362788172593648,87.046717299982,1.5904945274243445
AL,35564.0,11.479745267240306,86.87225467129187,1.648000061467837
AL,35565.0,9.408864770789302,89.00408594955974,1.5870492796509625
AL,35570.0,11.095215846035002,87.30223370905267,1.602550444912335
AL,35571.0,16.20632218627349,81.601244409425,2.192433404301514
AL,35572.0,8.493417844953681,89.95611896635788,1.5504631886884448
AL,35573.0,,,
AL,35574.0,20.36204851322568,78.5159206487395,1.1220308380348099
AL,35575.0,8.493417844953681,89.95611896635788,1.5504631886884448
AL,35576.0,17.62481067403801,81.30373137829044,1.0714579476715642
AL,35577.0,,,
AL,35578.0,14.386465571850085,83.78170862581511,1.8318258023348053
AL,35579.0,15.595204827025078,82.51799688906216,1.8867982839127833
AL,35580.0,15.340423349177582,82.78220428820573,1.8773723626166947
AL,35581.0,17.44638032922115,80.21834949228787,2.335270178490986
AL,35582.0,18.382990644363222,79.17449488558496,2.442514470051798
AL,35584.0,,,
AL,35585.0,18.37724801338352,79.18025930572982,2.4424926808866583
AL,35586.0,14.932910113980668,83.95613908526907,1.1109508007502524
AL,35587.0,15.340423349177582,82.78220428820572,1.8773723626166947
AL,35592.0,14.932910113980666,83.95613908526907,1.1109508007502524
AL,35593.0,16.927615808147845,80.79686818793391,2.2755160039182343
AL,35594.0,12.815022877132135,85.57565291190427,1.609324210963576
AL,35601.0,22.436038486927647,74.79746354343781,2.7664979696345346
AL,35602.0,22.436038486927647,74.79746354343783,2.766497969634534
AL,35603.0,22.44584844230564,74.79135395735538,2.762797600338983
AL,35610.0,25.00186996578594,71.89287109882358,3.1052589353904785
AL,35611.0,23.705583756345177,73.15736040609137,3.1370558375634516
AL,35612.0,23.705583756345177,73.15736040609137,3.1370558375634525
AL,35613.0,23.705583756345177,73.15736040609137,3.1370558375634516
AL,35614.0,23.706828809267737,73.15614589335794,3.1370252973743407
AL,35615.0,,,
AL,35616.0,29.627223259969142,67.88759847315845,2.485178266872411
AL,35617.0,,,
AL,35618.0,24.693975244477876,73.3912329891267,1.9147917663954042
AL,35619.0,23.405738162777627,74.21886322079398,2.3753986164283996
AL,35620.0,23.70558375634518,73.15736040609137,3.1370558375634525
AL,35621.0,21.78538350114566,75.47863063674332,2.7359858621110167
AL,35622.0,19.75682113551136,77.60232131826073,2.6408575462278994
AL,35630.0,25.447659289413345,71.45801664390797,3.0943240666786904
AL,35631.0,25.447659289413338,71.45801664390797,3.09432406667869
AL,35632.0,,,
AL,35633.0,25.447659289413345,71.45801664390797,3.09432406667869
AL,35634.0,25.447659289413338,71.45801664390797,3.09432406667869
AL,35640.0,22.436038486927647,74.79746354343781,2.766497969634534
AL,35643.0,24.693975244477876,73.39123298912672,1.9147917663954042
AL,35645.0,25.447659289413345,71.45801664390797,3.0943240666786904
AL,35646.0,29.62722325996914,67.88759847315845,2.485178266872411
AL,35647.0,23.705583756345177,73.15736040609137,3.1370558375634516
AL,35648.0,25.447659289413338,71.45801664390797,3.09432406667869
AL,35649.0,,,
AL,35650.0,24.69397524447788,73.39123298912672,1.9147917663954046
AL,35651.0,24.69397524447788,73.39123298912672,1.9147917663954046
AL,35652.0,25.429329280552814,71.47589703177097,3.094773687676216
AL,35653.0,18.849862449657437,78.70585163669624,2.444285913646331
AL,35654.0,20.121911821781385,77.4493575979637,2.4287305802549186
AL,35660.0,29.627223259969142,67.88759847315846,2.4851782668724116
AL,35661.0,29.62722325996914,67.88759847315846,2.485178266872411
AL,35670.0,22.436038486927647,74.79746354343783,2.766497969634534
AL,35671.0,23.70558375634518,73.15736040609137,3.1370558375634516
AL,35672.0,24.812998275245775,73.25844841023016,1.9285533145240779
AL,35673.0,23.939694501187166,73.86099487426236,2.199310624550459
AL,35674.0,29.609498540976514,67.90539044474497,2.4851110142785124
AL,35677.0,25.447659289413338,71.45801664390797,3.09432406667869
AL,35739.0,29.098425460981815,67.14353649605611,3.7580380429620925
AL,35740.0,17.623286023574693,80.07216742843397,2.30454654799134
AL,35741.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35742.0,23.70558375634518,73.15736040609137,3.1370558375634516
AL,35744.0,17.623286023574693,80.07216742843397,2.3045465479913396
AL,35745.0,17.623286023574693,80.07216742843394,2.3045465479913396
AL,35746.0,17.623286023574693,80.07216742843397,2.30454654799134
AL,35747.0,14.051194051194049,83.56070356070356,2.388102388102388
AL,35748.0,38.771931960435786,56.358457706709764,4.869610332854456
AL,35749.0,36.116751600570154,59.317054678428605,4.566193721001254
AL,35750.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35751.0,17.623286023574693,80.07216742843397,2.3045465479913396
AL,35752.0,17.623286023574693,80.07216742843396,2.30454654799134
AL,35754.0,22.35348027527523,74.88374748461901,2.762772240105751
AL,35755.0,15.391820732786629,82.25143586693153,2.356743400281842
AL,35756.0,27.55208520829882,68.86793682040448,3.5799779712966893
AL,35757.0,38.65485996339032,56.48668479283283,4.858455243776844
AL,35758.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35759.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35760.0,37.92311639267926,57.28494510745907,4.791938499861659
AL,35761.0,39.150828039856286,55.93360631580268,4.915565644341049
AL,35762.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35763.0,39.15082803985627,55.93360631580266,4.915565644341049
AL,35764.0,17.623286023574693,80.07216742843396,2.3045465479913396
AL,35765.0,17.434113429188542,80.25641316050266,2.309473410308791
AL,35766.0,17.623286023574693,80.07216742843397,2.30454654799134
AL,35767.0,,,
AL,35768.0,17.623286023574693,80.07216742843396,2.3045465479913396
AL,35769.0,16.86601284410806,80.81172701116427,2.3222601447276894
AL,35771.0,17.48595696133656,80.20591985535646,2.308123183306975
AL,35772.0,17.623286023574693,80.07216742843396,2.3045465479913396
AL,35773.0,36.30939856105259,59.1022245460795,4.58837689286793
AL,35774.0,17.623286023574693,80.07216742843397,2.3045465479913396
AL,35775.0,22.43603848692765,74.79746354343783,2.7664979696345346
AL,35776.0,17.674669084035227,79.94548165399094,2.379849261973839
AL,35801.0,39.150828039856286,55.933606315802685,4.915565644341049
AL,35802.0,39.15082803985628,55.93360631580268,4.915565644341049
AL,35803.0,39.150828039856286,55.933606315802685,4.915565644341048
AL,35804.0,39.150828039856286,55.93360631580268,4.915565644341049
AL,35805.0,39.15082803985627,55.93360631580268,4.915565644341048
AL,35806.0,39.150828039856286,55.93360631580268,4.915565644341048
AL,35807.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35808.0,39.15082803985628,55.93360631580268,4.915565644341048
AL,35809.0,,,
AL,35810.0,39.15082803985627,55.93360631580268,4.915565644341048
AL,35811.0,39.15082803985627,55.93360631580268,4.915565644341048
AL,35812.0,39.15082803985627,55.93360631580268,4.915565644341049
AL,35813.0,39.15082803985627,55.93360631580268,4.915565644341048
