business_accomodation_and_food_services,business_admin_support_and_waste_mngmt,business_agriculture_forestry_fishing_hunting,business_arts_entertain_rec,business_construction,business_education_services,business_finance_and_insurance,business_health_care_social_assit,business_unclassified,business_information,business_mngmt_companies,business_manufacturing,business_oil_extraction,business_other_services,business_profess_scientif_tech_services,business_real_estate_rental_leasing,business_retail,business_transportation_warehousing,business_utilities,business_wholesale_trade,business_zip
89.0,30.0,0.0,19.0,25.0,22.0,35.0,117.0,0.0,26.0,6.0,16.0,0.0,79.0,97.0,22.0,126.0,8.0,0.0,17.0,01060
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,01061
15.0,12.0,0.0,7.0,20.0,9.0,5.0,40.0,0.0,3.0,0.0,12.0,0.0,15.0,18.0,7.0,17.0,4.0,0.0,8.0,01062
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01066
3.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,01068
22.0,9.0,0.0,5.0,36.0,7.0,8.0,17.0,0.0,5.0,0.0,23.0,0.0,28.0,23.0,7.0,40.0,12.0,0.0,14.0,01069
0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,01071
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,01072
12.0,10.0,0.0,6.0,32.0,0.0,5.0,8.0,0.0,0.0,0.0,7.0,0.0,7.0,9.0,0.0,18.0,4.0,0.0,0.0,01073
33.0,21.0,0.0,6.0,46.0,8.0,22.0,36.0,0.0,0.0,0.0,8.0,0.0,41.0,30.0,5.0,31.0,7.0,0.0,13.0,01075
28.0,12.0,3.0,9.0,33.0,0.0,9.0,15.0,0.0,0.0,0.0,16.0,0.0,21.0,6.0,7.0,39.0,10.0,0.0,7.0,01077
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01079
6.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0,0.0,7.0,0.0,0.0,0.0,01080
3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,01081
19.0,15.0,0.0,3.0,14.0,0.0,11.0,10.0,0.0,0.0,0.0,11.0,0.0,21.0,8.0,0.0,34.0,5.0,0.0,4.0,01082
3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,01083
