zip,property_value_avg
60148,283157
73013,237143
30101,299483
89074,350777
30058,178170
32303,164847
33414,410772
95014,2306448
98208,549989
53704,257806
92376,406499
43229,194374
95112,929738
78253,279597
14094,174295
85008,273116
28210,402911
45013,177872
45044,168531
30083,180581
89103,199416
32771,254693
12180,197225
94080,1127163
92648,1118007
92130,1300520
80016,606732
27265,203913
92105,532089
33433,321943
84404,307339
79424,233808
47150,167576
41042,195291
92122,811199
77373,180778
67401,133941
23455,332712
20910,641787
29483,251921
39759,182490
85255,825181
8759,199926
2135,529747
95648,525958
19148,261263
22407,322985
29588,207221
33015,291340
11354,427407
30047,266216
48439,210785
92563,496636
77070,227897
27407,166903
53711,346183
75204,398716
7305,412129
7047,433669
90036,1840453
94112,1202270
33463,265306
75068,297589
76137,240185
89147,305666
78759,565332
45140,296900
28025,231208
94087,2136301
27603,280204
30075,468217
2151,475655
97124,450676
10014,1095777
95125,1441796
38654,245702
90640,621521
75071,358337
33436,287762
98109,775347
1201,200658
83709,392064
63301,219557
8873,378822
20904,482370
6511,232702
19702,265659
98034,764397
76051,389239
54601,184966
34668,151851
78640,242912
92562,501088
96815,470429
19131,157759
6457,232923
2780,352782
17601,286476
19711,315333
47130,174246
27529,258489
79928,163835
8527,382145
22192,398844
33141,286731
22201,732762
30067,314079
30114,306855
59102,280839
60004,364779
45040,329510
48038,231180
92117,787694
7306,491410
33324,261337
85201,258721
78209,415596
94086,1670098
32137,278531
27106,219812
43302,94674
11746,657345
80504,465753
94806,531327
10451,299489
33178,360134
19144,178972
48066,131467
23112,302371
92128,722249
80219,381424
33021,312930
72034,196851
91801,727114
94591,523142
34748,198873
29229,181798
19380,450791
78223,148860
91331,568191
30907,185124
45424,146852
7728,410088
23456,394189
85326,267303
30144,263161
28540,159022
33023,307035
32839,206068
70065,235189
97504,354511
33914,318266
92805,630177
78520,108944
84015,334196
90042,850108
24060,294559
98225,513903
77386,262085
97206,435018
75034,479854
92020,623242
94553,653792
92201,324677
75115,245318
33308,414728
34698,296044
94015,1152653
7055,385048
10466,505649
92399,428752
92882,564968
7111,251182
97702,514853
29720,162652
22030,623207
73505,105619
58104,293215
46032,379052
37043,265698
10460,378729
78045,223654
63366,251963
23225,257376
77407,274746
75093,510605
30319,592944
78542,133149
36695,202375
39503,153811
80538,400606
33418,440352
38016,229761
33312,325527
85351,218666
10036,850241
29414,297805
19382,476883
33437,309668
70119,301033
11374,372604
85338,316578
28546,164471
60638,264811
78228,153838
56001,228106
27526,296382
7003,406343
60402,245366
78665,328259
95008,1447226
93308,246234
21218,169245
88101,167045
97405,411227
65202,172546
27606,308861
44646,157782
92656,680820
92056,612720
45069,285873
32068,230613
23185,337560
6810,307871
20850,604590
78230,289504
34997,302061
92704,638420
19146,381353
79109,177010
28645,125996
99336,278206
92071,602703
36830,275698
80020,460033
92626,905089
75007,303592
53209,90424
8021,157967
48187,296619
27405,135051
34221,260377
78504,183623
60639,276255
63303,259270
95350,337615
34952,212168
95624,503151
27616,254035
85205,298981
85374,301125
21206,167052
75219,314027
55044,421408
19145,263500
96797,718855
10940,257175
92509,456947
29910,318702
10472,459914
10473,395624
19140,75925
92024,1243580
92553,361948
4401,193762
35758,276395
29607,257865
33810,225068
89119,204214
22003,623837
30606,252731
34741,195958
78550,113419
61265,111198
96720,365094
19320,255719
22554,415653
89129,330162
33065,242075
92880,648005
26003,114317
92253,508749
90006,786541
44124,174761
12550,269865
96817,746677
38017,386695
11210,707043
23188,337982
10033,670972
75080,341438
48228,38658
97223,497160
89122,255345
70816,187964
85254,604005
23434,234271
48044,334797
20774,376180
92223,386545
49009,287044
28173,439763
78258,375057
45238,151732
63116,140294
60073,174405
75040,217558
33033,270773
29501,163438
27613,402912
95020,846794
27215,184852
75231,205419
29526,193739
19147,452048
87109,273560
65802,132248
57106,238670
30016,181498
77042,245895
85248,422729
76549,155557
28412,252533
43235,291420
98661,365785
11434,415124
90255,508276
60630,351050
21228,342237
90028,965471
73072,230796
94115,1601547
92234,365816
78681,376245
93003,652058
75061,228812
91786,553147
72701,248927
85207,401018
84043,439826
47401,295147
21207,229770
40324,217117
98125,736659
20744,363162
38111,96962
75126,252668
33020,266127
33614,236873
78250,196697
75149,184046
97301,280168
97501,294792
33176,394175
75025,393720
17602,217681
19464,191056
80123,493236
37087,290517
19149,187755
93312,339922
55106,221899
15237,286981
12065,312021
87112,222581
15642,240967
43016,345601
7024,572969
55337,317191
60643,192077
80918,347135
96789,763849
80012,365884
40214,161647
90024,1481944
85122,221030
22314,756281
32935,196219
28806,295215
92057,573636
57701,195519
72764,188809
29651,224721
32164,227808
55303,303344
75024,444515
46360,145017
89115,226364
66502,202217
47374,96691
11224,457921
77063,212582
34744,260954
62704,132896
43615,123337
63031,128704
78216,243413
28117,427795
54956,196416
28262,241357
70001,284774
34655,280133
27360,151949
7083,381939
85016,401238
70301,173576
19335,399273
14120,184809
20171,675652
27513,374009
77081,222829
80014,337668
11691,550161
58201,235723
53511,123779
76133,206051
89502,340656
33322,200462
37918,207181
8054,262729
7601,351625
67212,178026
14075,223592
54115,256258
10306,581310
98003,429458
73120,184433
98391,502287
33125,331655
92708,913465
1844,425401
65804,187537
93063,646427
77546,292830
27615,370301
92103,819469
70506,165862
45014,197785
75063,430168
77406,300687
73071,159108
32837,291424
98226,492631
7470,492178
85224,332684
93277,267933
75074,278355
45324,131898
80229,367177
43207,149852
74055,216758
76010,185750
13760,133028
37221,358201
35215,119896
10010,775787
85375,300012
29073,174973
43232,148493
33615,247054
78247,226193
80526,421993
32216,197043
80211,635268
48307,316304
12866,384053
30236,174154
27612,396074
28110,244659
87507,325795
93720,378094
91402,554733
32940,332321
80537,399011
64118,190635
44102,83489
63136,49086
27604,241672
96744,869670
21401,475527
94117,1607297
30309,351926
60411,116688
53081,145705
76542,181080
87105,176506
8053,314949
77396,196783
33617,207707
78233,185980
6492,281732
91977,558650
48219,55462
55104,268934
92507,434689
14150,172895
30032,225698
98105,1080419
55113,319962
85283,343501
33142,261562
33062,360752
92037,1777127
91367,875532
18103,197247
23608,211339
94102,905531
17701,145219
92346,407480
33612,199739
32259,371862
95207,330671
19103,541676
47201,179187
98270,452881
95831,549546
24502,187321
96003,332267
42301,140023
65201,204209
32725,211796
93436,406670
83642,421106
27107,154429
77008,478204
97330,421205
94121,1648868
35405,187607
37660,129855
78155,229290
19139,125854
32703,248371
37209,378926
68516,292810
40509,269025
10469,545109
95828,360819
95616,769369
91406,687219
93291,308091
98004,1786556
30809,290159
10312,582213
48235,59639
90049,2973158
53215,136210
16001,180193
44691,182473
91766,484471
48183,194273
8540,670851
91706,523219
21229,134437
21044,417158
92260,412657
60804,214119
37343,224029
90020,721159
30064,342155
29576,263670
30328,479952
39401,93416
85365,221241
91744,540905
43224,144364
30093,211931
30518,293140
8401,125772
85711,205344
19403,325635
75023,313681
33442,143186
28403,245829
34746,253943
48111,231897
52404,135590
48858,152427
55112,321034
97202,585109
70810,259282
92801,645403
33415,184195
54703,191252
60623,176561
77072,166114
33180,362789
98118,671667
48170,360550
98501,415364
90277,1355900
97006,454981
11706,443458
26505,202464
92780,782091
94611,1474549
92407,392428
92404,344647
87123,228672
20148,688112
48843,296227
49424,264437
53703,381935
85209,334422
37920,185308
44212,225440
15108,236896
1970,456151
60632,226929
87108,198451
73034,298500
29687,217636
60435,176089
91762,505539
32708,306376
52001,149345
65803,120386
30721,131726
87110,226924
11758,563241
77089,208148
83686,324695
39402,200198
77469,244901
95628,513147
95060,1075329
29615,285703
44870,114345
46226,102808
77511,214509
94550,943835
30324,439926
10461,571386
14450,246541
33130,350625
29412,373166
37076,277971
75006,266022
53202,272240
85018,654160
32746,345027
71111,208398
70508,238471
10022,930483
75227,173274
77015,163101
11106,527862
91405,680584
32514,176542
54935,137927
85382,336583
97007,500721
11222,1076193
26554,130738
8854,379233
2860,250231
85260,519396
92078,710260
95610,417855
92324,360672
90813,501184
8081,222788
61761,170262
30605,206782
49423,239518
46350,182334
8757,196408
18104,255700
85719,269975
2703,380753
70115,532556
91761,516253
20772,367016
21221,222082
90803,1040914
23602,221389
90503,975722
16801,313786
98204,407186
7712,478236
84790,387002
43551,254253
56560,209539
94577,769438
78046,131624
96822,643180
14224,198642
2895,252911
77040,201625
36116,93070
40216,149558
92026,592534
85044,360909
91601,855154
75248,449399
52402,157983
98837,249581
7052,443739
44111,109795
72401,132076
60201,516954
60605,402256
23803,129982
98387,385196
1453,323221
54220,134428
63033,149127
77388,225936
99205,251853
98258,492589
85029,256252
2124,563249
14609,133942
95206,331664
43204,147827
33179,175554
61554,96384
94118,2124490
37620,130980
94546,905577
91702,532384
22903,361250
40517,169855
98023,474349
78028,258042
60506,204362
20902,462934
21043,496640
29803,223114
80233,397257
7104,347105
95678,446177
92692,815027
11432,664668
60014,242259
42240,107743
6460,331534
52302,194276
75062,235145
38115,139110
80011,355466
24018,255832
59718,470833
45231,151360
94403,1603629
30034,187428
30076,399486
76112,187305
85041,259429
23220,314653
95621,379298
33068,244161
75216,147427
79907,114284
18702,73732
84041,351601
97756,373816
48706,144574
27609,390736
28562,206706
20003,869469
62040,81865
92114,543275
30097,478608
76502,196861
19460,358654
30339,375509
34786,473237
32835,236765
78109,196808
78201,172810
28306,176956
10475,435522
7960,611777
33919,205371
60440,224667
76039,273419
90005,960318
55416,393531
90047,594826
23234,200430
29621,204642
38501,182589
78213,178699
91770,670963
76017,240258
15317,291430
70737,210996
91343,697997
90247,589836
78414,248083
90003,475539
93906,531626
33126,214820
85206,289373
8724,302583
44240,169398
32224,342853
30157,214098
90630,777629
59101,224245
75214,569887
60126,446290
19128,297628
77339,220568
83854,369683
8816,399952
32808,186827
32780,196379
48104,432712
47905,192241
63017,411116
60115,162011
20008,1086588
21220,243584
39110,288530
96816,1065499
93446,560687
79705,292116
90016,904998
80210,722979
63026,254996
32034,407818
37115,236935
91942,618365
63122,384006
34112,225612
85713,172108
78229,169057
46220,276077
55408,327982
43201,295423
33844,201549
31061,149288
7304,455898
65109,177791
85706,180168
80220,620832
34203,280039
90018,826896
50613,199325
80501,406449
80631,295268
90043,805865
32566,304408
11217,1100242
92028,638830
32159,243334
18974,368791
92129,888504
29407,334018
98033,1174897
98277,392136
77024,979212
29210,137447
44118,169972
95822,367657
90037,567108
18102,122774
44094,211992
1752,416120
77581,278035
94103,993434
91304,732019
94590,421659
97123,429482
48198,160063
40299,253463
94114,1846049
78840,128724
46237,192925
37604,174795
44203,123775
93551,454585
33904,268162
33928,322277
98042,522864
38109,71208
77088,165701
21502,94023
33165,423388
33161,323885
21230,229725
85234,393338
11772,406667
92211,387404
96818,514794
32257,254397
70769,253699
28226,439897
80127,553120
80231,400736
92870,781852
32824,284418
33435,212300
34667,202820
17055,235585
37601,156571
90022,527336
97701,451848
76108,208851
34209,280718
95124,1420137
28213,226495
44720,199594
30506,294371
29150,112070
99362,291821
34609,217331
15068,154439
90045,1307415
80401,667292
55125,350592
85020,314361
44224,212495
28105,323321
28376,183540
20176,601754
75104,236751
42303,148675
30519,300590
20854,958221
27520,228141
94539,1711452
94107,1191310
89131,392842
97302,355380
6082,211972
13021,141288
33446,264489
30350,441138
48073,260554
27516,400477
95336,434276
23669,198166
27103,188693
22202,778998
10065,1186191
60010,495545
92530,403730
92111,718141
46038,262667
94010,3019395
46060,237290
89014,317515
77099,171156
60089,326183
47909,180085
91950,505059
75013,458622
46514,168581
38128,105596
21921,259874
98801,356416
54915,198250
75044,258588
49201,185946
93033,478520
13440,132617
85295,400052
77090,192971
13601,139845
92027,556369
23224,154605
1915,560687
92392,312544
30228,205863
98902,224486
94566,1327098
83704,349660
75019,440305
77539,218904
91344,760052
95762,730935
53590,299519
90278,1140709
70433,262940
96734,1129755
46254,159519
84096,483281
48911,119181
60123,206752
28451,250365
92691,809795
60609,208263
52722,233604
46140,201724
32907,210859
93311,340202
40356,189526
33175,396991
6484,371610
48060,119187
45211,138481
28311,151805
89436,438969
21702,330206
77055,478023
11205,756485
94928,614527
92886,907964
60062,531975
98102,758438
30736,203267
6606,249618
92116,733151
94605,759910
53211,368269
39564,178730
44134,142611
30813,214376
44120,102249
92545,320001
92504,439957
85208,275589
93010,687154
32073,220837
46383,248139
35401,118643
53207,201573
1801,565270
95037,1063464
85021,339224
8817,350324
90703,799899
23228,227579
49442,114829
49504,198487
75165,235267
60505,161259
17543,298518
19121,224317
90057,608927
10459,405369
44109,97173
97030,363108
77044,218739
10040,432043
70003,243973
2127,750821
32712,300353
30120,208386
34119,429757
24401,193227
97219,552557
33417,114665
54701,233853
10001,957854
32526,173188
98092,508795
84770,332719
72758,273502
77004,311117
34231,281015
33177,343139
94066,1216321
41017,248306
29577,168534
33134,518273
84074,320213
60462,302391
21804,163303
80022,403939
40291,225693
77064,204612
17050,304240
92009,1021442
48188,303821
95376,492799
79423,179702
78227,142785
85202,289368
84119,331419
46410,174081
92672,1138169
693,74079
78744,288881
85712,212513
55117,250091
91745,721825
21701,326404
30039,236647
85296,385742
94601,665658
60645,334265
92054,767884
60654,411132
30680,217121
33196,374458
20747,286571
33461,203432
8234,242531
19701,317694
46901,98165
6790,169769
94610,1455219
1902,395900
60067,364151
19130,419357
50266,257767
46902,131152
93117,930045
37174,330491
19808,284324
94025,2413874
19709,380908
89509,538275
24153,198858
76107,302089
77080,271646
