libname,address,city,zip,cnty,sq_feet,longitude,latitude
CLEARWATER COUNTY FREE LIBRARY DISTRICT,204 WOOD ST,WEIPPE,83553,CLEARWATER,5600,-115.942,46.37574
PATRICIA ROMANKO PUBLIC,121 N 3RD ST,PARMA,83660,CANYON,2470,-116.944,43.78487
PAYETTE PUBLIC,24 S 10TH ST,PAYETTE,83661,PAYETTE,16142,-116.932,44.07422
MARSHALL PUBLIC,113 S GARFIELD,POCATELLO,83204,BANNOCK,32680,-112.452,42.86068
PIERCE DISTRICT,208 S MAIN ST,PIERCE,83546,CLEARWATER,1600,-115.798,46.48912
PLUMMER PUBLIC,800 D ST,PLUMMER,83851,BENEWAH,5420,-116.885,47.33414
WEST BONNER DISTRICT,118 MAIN ST,PRIEST RIVER,83856,BONNER,3606,-116.907,48.17931
WEST BONNER DISTRICT - BLANCHARD BRANCH,412 RAILROAD AVE,BLANCHARD,83804,BONNER,1792,-116.982,48.01591
LARSEN-SANT/FRANKLIN DISTRICT,109 S 1ST E,PRESTON,83263,FRANKLIN,8750,-111.874,42.09374
MADISON LIBRARY DISTRICT,73 N CENTER ST,REXBURG,83440,MADISON,26000,-111.783,43.82761
MADISON DISTRICT - BOOKMOBILE,73 N CENTER ST,REXBURG,83440,MADISON,-4,-111.783,43.82761
SALMON RIVER PUBLIC,126 N MAIN ST,RIGGINS,83549,IDAHO,1800,-116.314,45.42265
RICHFIELD DISTRICT,105 S MAIN,RICHFIELD,83349,LINCOLN,2160,-114.153,43.04914
RIRIE PUBLIC,464 MAIN ST,RIRIE,83443,JEFFERSON,900,-111.773,43.63037
RIGBY PUBLIC,110 N STATE ST,RIGBY,83442,JEFFERSON,1000,-111.914,43.67444
ROBERTS PUBLIC,650 N 2870 E,ROBERTS,83444,JEFFERSON,3277,-112.128,43.71996
ROCKLAND SCHOOL/COMMUNITY,321 E CENTER,ROCKLAND,83271,POWER,1500,-112.872,42.57403
DEMARY MEMORIAL,417 7TH ST,RUPERT,83350,MINIDOKA,4307,-113.673,42.61854
NORTH BINGHAM DISTRICT,197 W LOCUST ST,SHELLEY,83274,BINGHAM,7600,-112.125,43.37801
LEMHI COUNTY DISTRICT,300 MAIN ST,SALMON,83467,LEMHI,13000,-113.895,45.1764
LEMHI COUNTY DISTRICT - LEADORE COMMUNITY,202 S RAILROAD ST,LEADORE,83464,LEMHI,950,-113.357,44.6803
EAST BONNER COUNTY DISTRICT,1407 CEDAR ST,SANDPOINT,83864,BONNER,38398,-116.568,48.27597
EAST BONNER COUNTY DISTRICT - CLARK FORK BRANCH,601 MAIN ST,CLARK FORK,83811,BONNER,4250,-116.176,48.14843
EAST BONNER COUNTY DISTRICT - BOOKMOBILE,1407 CEDAR ST,SANDPOINT,83864,BONNER,-4,-116.568,48.27597
SUGAR SALEM SCHOOL/COMMUNITY,1 DIGGER DR,SUGAR CITY,83448,MADISON,-4,-111.737,43.87271
SUGAR SALEM SCHOOL/COMMUNITY,1 DIGGER DR,SUGAR CITY,83448,MADISON,14500,-111.737,43.87271
SHOSHONE PUBLIC,211 S RAIL ST W,SHOSHONE,83352,LINCOLN,2480,-114.408,42.93599
ST. MARIES PUBLIC,822 COLLEGE AVE,ST. MARIES,83861,BENEWAH,2530,-116.568,47.31529
SODA SPRINGS PUBLIC,149 S MAIN ST,SODA SPRINGS,83276,CARIBOU,3500,-111.603,42.65585
STANLEY COMMUNITY,240 NIECE AVE,STANLEY,83278,CUSTER,2050,-114.938,44.21559
TWIN FALLS PUBLIC,201 FOURTH AVE E,TWIN FALLS,83301,TWIN FALLS,41000,-114.465,42.55692
TWIN FALLS PUBLIC - BOOKMOBILE,201 FOURTH AVE E,TWIN FALLS,83301,TWIN FALLS,-4,-114.465,42.55692
VALLEY OF THE TETONS DISTRICT,56 N MAIN,VICTOR,83455,TETON,5654,-111.11,43.60379
VALLEY OF THE TETONS DISTRICT - DRIGGS BRANCH,79 NORTH MAIN ST.,DRIGGS,83422,TETON,3750,-111.111,43.72406
WALLACE PUBLIC,415 RIVER ST,WALLACE,83873,SHOSHONE,2052,-115.926,47.47403
WEISER PUBLIC,628 E 1ST ST,WEISER,83672,WASHINGTON,4000,-116.968,44.24763
SHERBURN SMITH MEMORIAL,375 1ST AVE E,WENDELL,83355,GOODING,1341,-114.699,42.77638
WILDER DISTRICT,111 2ND ST,WILDER,83676,CANYON,5000,-116.908,43.67644
KELLOGG PUBLIC,16 W MARKET AVE,KELLOGG,83837,SHOSHONE,3422,-116.121,47.53374
TRI-COMMUNITY BRANCH,46 ISAACSON,FERNWOOD,83830,BENEWAH,1400,-116.394,47.11338
TENSED-DESMET BRANCH,304 C ST,TENSED,83870,BENEWAH,1920,-116.923,47.16131
COMMUNITY LIBRARY NETWORK - HAYDEN,8385 N GOVERNMENT WY,HAYDEN,83835,KOOTENAI,20498,-116.786,47.74755
COMMUNITY LIBRARY NETWORK - ATHOL,30399 N 3RD,ATHOL,83801,KOOTENAI,3065,-116.707,47.94751
COMMUNITY LIBRARY NETWORK - RATHDRUM,16320 HIGHWAY 41,RATHDRUM,83858,KOOTENAI,5398,-116.883,47.82044
COMMUNITY LIBRARY NETWORK - SPIRIT LAKE,32575 N 5TH,SPIRIT LAKE,83869,KOOTENAI,3250,-116.868,47.96903
COMMUNITY LIBRARY NETWORK - BOOKMOBILE,8385 N GOVERNMENT WY,HAYDEN,83835,KOOTENAI,-4,-116.786,47.74755
COMMUNITY LIBRARY NETWORK - PINEHURST,107 MAIN,PINEHURST,83850,SHOSHONE,3218,-116.235,47.53774
COMMUNITY LIBRARY NETWORK - HARRISON,111 S COEUR D`ALENE,HARRISON,83833,KOOTENAI,1512,-116.781,47.45103
COMMUNITY LIBRARY NETWORK - POST FALLS,821 N SPOKANE,POST FALLS,83854,KOOTENAI,21886,-116.948,47.71616
FREMONT DISTRICT - ISLAND PARK,3368 HWY 20,ISLAND PARK,83429,FREMONT,950,-111.402,44.36407
FREMONT DISTRICT - ST. ANTHONY,420 N BRIDGE STE E,ST. ANTHONY,83445,FREMONT,7116,-111.682,43.97068
FREMONT DISTRICT - ASHTON,925 MAIN,ASHTON,83420,FREMONT,3502,-111.442,44.07171
FREMONT DISTRICT - BOOKMOBILE,420 N BRIDGE STE E,ASHTON,83420,FREMONT,-4,-111.406,44.07876
MEADOWS VALLEY DISTRICT,400 VIRGINIA ST,NEW MEADOWS,83654,ADAMS,3000,-116.282,44.97112
PRIEST LAKE DISTRICT,28769 HWY 57,PRIEST LAKE,83856,BONNER,2543,-116.939,48.52575
DONNELLY PUBLIC LIBRARY DISTRICT,150 E STATE ST,DONNELLY,83615,VALLEY,1024,-116.079,44.73301
JOHN MOSSER PUBLIC LIBRARY DISTRICT,106 WEST MEEK STREET,ABINGDON,61410,KNOX,4493,-90.3987,40.80238
ACORN PUBLIC LIBRARY DISTRICT,15624 SOUTH CENTRAL AVENUE,OAK FOREST,60452,COOK,20000,-87.7562,41.60746
ADDISON PUBLIC LIBRARY,4 FRIENDSHIP PLAZA,ADDISON,60101,DUPAGE,54600,-87.9935,41.93304
ALBION PUBLIC LIBRARY,6 NORTH FOURTH STREET,ALBION,62806,EDWARDS,3380,-88.0562,38.37716
EASTGATE BRANCH LIBRARY,115 EASTGATE DRIVE,ALGONQUIN,60102,MCHENRY,16000,-88.2851,42.16457
ALGONQUIN AREA PUBLIC LIBRARY DISTRICT,2600 HARNISH DRIVE,ALGONQUIN,60102,MCHENRY,35000,-88.3462,42.16128
ALPHA PARK PUBLIC LIBRARY DISTRICT,3527 SOUTH AIRPORT ROAD,BARTONVILLE,61607,PEORIA,20562,-89.6804,40.64715
ALSIP-MERRIONETTE PARK LIBRARY DISTRICT,11960 SOUTH PULASKI ROAD,ALSIP,60803,COOK,25000,-87.7197,41.67548
ALTAMONT PUBLIC LIBRARY,121 WEST WASHINGTON AVENUE,ALTAMONT,62411,EFFINGHAM,4608,-88.7488,39.06058
RANSOM MEMORIAL PUBLIC LIBRARY,110 EAST MAIN STREET,ALTONA,61414,KNOX,1800,-90.1637,41.1145
PANKHURST MEMORIAL LIBRARY,3 SOUTH JEFFERSON AVENUE,AMBOY,61310,LEE,4121,-89.3278,41.71487
ANDALUSIA TOWNSHIP LIBRARY,503 SECOND STREET WEST,ANDALUSIA,61232,ROCK ISLAND,2702,-90.7205,41.43955
STINSON MEMORIAL PUBLIC LIBRARY DISTRICT,409 SOUTH MAIN STREET,ANNA,62906,UNION,4800,-89.2521,37.45789
COBDEN BRANCH LIBRARY,100 SOUTH FRONT STREET,COBDEN,62920,UNION,525,-89.2536,37.53148
WOLF LAKE BRANCH LIBRARY,3365 STATE ROUTE 3 NORTH,WOLF LAKE,62998,UNION,500,-89.4284,37.49443
ANNAWAN-ALBA TOWNSHIP LIBRARY,"200 N MEADOW LANE, SUITE 2",ANNAWAN,61234,HENRY,2260,-89.9067,41.40233
ANTIOCH PUBLIC LIBRARY DISTRICT,757 MAIN STREET,ANTIOCH,60002,LAKE,31000,-88.0962,42.48281
ARCOLA PUBLIC LIBRARY DISTRICT,407 EAST MAIN STREET,ARCOLA,61910,DOUGLAS,9322,-88.3032,39.68405
ARLINGTON HEIGHTS MEMORIAL LIBRARY,500 NORTH DUNTON AVENUE,ARLINGTON HEIGHTS,60004,COOK,132000,-87.9829,42.08748
ARLINGTON HEIGHTS MEMORIAL LIBRARY BOOKMOBILE,500 NORTH DUNTON AVENUE,ARLINGTON HEIGHTS,60004,COOK,-4,-87.9829,42.08748
ARLINGTON HEIGHTS SENIOR CENTER BRANCH,1801 WEST CENTRAL ROAD,ARLINGTON HEIGHTS,60005,COOK,1405,-88.0053,42.06654
ARTHUR PUBLIC LIBRARY DISTRICT,225 SOUTH WALNUT STREET,ARTHUR,61911,MOULTRIE,5000,-88.4734,39.71569
PRAIRIE SKIES PUBLIC LIBRARY DISTRICT,125 WEST EDITOR STREET,ASHLAND,62612,CASS,3600,-90.0076,39.88872
PRAIRIE SKIES PUBLIC LIBRARY DISTRICT BRANCH,555 BUCKEYE ROAD,PLEASANT PLAINS,62677,SANGAMON,4400,-89.9226,39.87752
ASHLEY PUBLIC LIBRARY DISTRICT,70 NORTH SECOND STREET,ASHLEY,62808,WASHINGTON,2400,-89.1886,38.32716
MILLS & PETRIE MEMORIAL LIBRARY AND GYMNASIUM,704 NORTH FIRST STREET,ASHTON,61006,LEE,2200,-89.223,41.86704
ASSUMPTION PUBLIC LIBRARY DISTRICT,205 NORTH OAK STREET,ASSUMPTION,62510,CHRISTIAN,4000,-89.0485,39.52036
ASTORIA PUBLIC LIBRARY DISTRICT,220 WEST BROADWAY STREET,ASTORIA,61501,FULTON,5000,-90.36,40.22694
ATKINSON PUBLIC LIBRARY DISTRICT,109 SOUTH STATE STREET,ATKINSON,61235,HENRY,3506,-90.0155,41.41515
ATLANTA PUBLIC LIBRARY DISTRICT,100 RACE STREET,ATLANTA,61723,LOGAN,1485,-89.2327,40.26102
ATWOOD-HAMMOND PUBLIC LIBRARY DISTRICT,123 NORTH MAIN STREET,ATWOOD,61913,PIATT,4368,-88.4623,39.80006
AUBURN PUBLIC LIBRARY DISTRICT,338 WEST JEFFERSON STREET,AUBURN,62615,SANGAMON,7000,-89.7444,39.59187
AURORA PUBLIC LIBRARY BOOKMOBILE,"1100 CHURCH ROAD, SUITE 10",AURORA,60505,KANE,-4,-88.2972,41.77985
EOLA ROAD BRANCH LIBRARY,555 SOUTH EOLA ROAD,AURORA,60504,DUPAGE,34000,-88.2471,41.74508
WEST BRANCH LIBRARY,233 SOUTH CONSTITUTION DRIVE,AURORA,60506,KANE,20000,-88.3671,41.75836
AURORA PUBLIC LIBRARY,101 SOUTH RIVER STREET,AURORA,60506,KANE,97000,-88.3194,41.75715
EXPRESS CENTER,"1100 CHURCH ROAD, SUITE 10",AURORA,60505,KANE,-3,-88.297245,41.77985
VILLAGE OF AVON PUBLIC LIBRARY,105 SOUTH MAIN STREET,AVON,61415,FULTON,1398,-90.4349,40.66184
BARCLAY PUBLIC LIBRARY DISTRICT,220 SOUTH MAIN STREET,WARRENSBURG,62573,MACON,5000,-89.0623,39.92907
BARRINGTON PUBLIC LIBRARY DISTRICT,505 NORTH NORTHWEST HIGHWAY,BARRINGTON,60010,LAKE,60000,-88.1283,42.16006
SOUTH BRANCH,3 TENNIS CLUB LANE,SOUTH BARRINGTON,60010,COOK,-3,-88.142898,42.074217
BARRY PUBLIC LIBRARY,880 BAINBRIDGE STREET,BARRY,62312,PIKE,3360,-91.0404,39.69289
BARTLETT PUBLIC LIBRARY DISTRICT,800 SOUTH BARTLETT ROAD,BARTLETT,60103,DUPAGE,30800,-88.1837,41.97621
BATAVIA PUBLIC LIBRARY DISTRICT,10 SOUTH BATAVIA AVENUE,BATAVIA,60510,KANE,54000,-88.3118,41.84975
BEARDSTOWN HOUSTON MEMORIAL PUBLIC LIBRARY,13 BOULEVARD ROAD,BEARDSTOWN,62618,CASS,8500,-90.4276,40.00618
BEDFORD PARK PUBLIC LIBRARY DISTRICT,7816 WEST 65TH PLACE,BEDFORD PARK,60501,COOK,17000,-87.8164,41.77275
BELLEVILLE PUBLIC LIBRARY,121 EAST WASHINGTON STREET,BELLEVILLE,62220,ST. CLAIR,19650,-89.9825,38.51266
WEST BRANCH LIBRARY,3414 W. MAIN STREET,BELLEVILLE,62226,ST. CLAIR,3112,-90.015,38.53241
BELLWOOD PUBLIC LIBRARY,600 BOHLAND AVENUE,BELLWOOD,60104,COOK,16000,-87.8771,41.88161
IDA PUBLIC LIBRARY,320 NORTH STATE STREET,BELVIDERE,61008,BOONE,15000,-88.8456,42.26182
BEMENT PUBLIC LIBRARY DISTRICT,349 SOUTH MACON STREET,BEMENT,61813,PIATT,3800,-88.5713,39.919670000000004
BENSENVILLE COMMUNITY PUBLIC LIBRARY DISTRICT,200 SOUTH CHURCH ROAD,BENSENVILLE,60106,DUPAGE,27592,-87.9507,41.95293
BENTON PUBLIC LIBRARY DISTRICT,502 SOUTH MAIN STREET,BENTON,62812,FRANKLIN,10500,-88.9204,37.99154
BERKELEY PUBLIC LIBRARY,1637 NORTH TAFT AVENUE,BERKELEY,60163,COOK,11484,-87.913,41.8846
BERTOLET MEMORIAL LIBRARY DISTRICT,705 MAIN STREET,LEAF RIVER,61047,OGLE,5475,-89.4038,42.121339999999996
BERWYN PUBLIC LIBRARY,2701 SOUTH HARLEM AVENUE,BERWYN,60402,COOK,33000,-87.8032,41.84216
BETHALTO PUBLIC LIBRARY DISTRICT,321 SOUTH PRAIRIE STREET,BETHALTO,62010,MADISON,9720,-90.0405,38.90756
BLANDINSVILLE-HIRE LIBRARY DISTRICT,130 SOUTH MAIN STREET,BLANDINSVILLE,61420,MCDONOUGH,2856,-90.8662,40.55573
BLOOMINGDALE PUBLIC LIBRARY,101 FAIRFIELD WAY,BLOOMINGDALE,60108,DUPAGE,35000,-88.0728,41.95734
BLOOMINGTON PUBLIC LIBRARY,205 EAST OLIVE STREET,BLOOMINGTON,61701,MCLEAN,51000,-88.9929,40.47704
BLOOMINGTON PUBLIC LIBRARY BOOKMOBILE,205 EAST OLIVE STREET,BLOOMINGTON,61701,MCLEAN,-4,-88.9929,40.47704
BLUE ISLAND PUBLIC LIBRARY,2433 YORK STREET,BLUE ISLAND,60406,COOK,23000,-87.6812,41.65711
BLUE MOUND MEMORIAL LIBRARY DISTRICT,213 NORTH SAINT MARIE STREET,BLUE MOUND,62513,MACON,2016,-89.1227,39.70047
BLUFFS PUBLIC LIBRARY,110 NORTH BLUFF STREET,BLUFFS,62621,SCOTT,1400,-90.5351,39.75091
BOURBONNAIS PUBLIC LIBRARY DISTRICT,250 WEST JOHN CASEY ROAD,BOURBONNAIS,60914,KANKAKEE,17100,-87.8791,41.1657
BRADFORD PUBLIC LIBRARY DISTRICT,111 SOUTH PEORIA STREET,BRADFORD,61421,STARK,2600,-89.6577,41.17641
BRADLEY PUBLIC LIBRARY DISTRICT,296 NORTH FULTON AVENUE,BRADLEY,60915,KANKAKEE,16734,-87.8564,41.14751
BREESE PUBLIC LIBRARY,530 NORTH THIRD STREET,BREESE,62230,CLINTON,5592,-89.5281,38.60981
BRIDGEVIEW PUBLIC LIBRARY,7840 WEST 79TH STREET,BRIDGEVIEW,60455,COOK,36000,-87.8159,41.7478
BRIMFIELD PUBLIC LIBRARY DISTRICT,111 SOUTH GALENA STREET,BRIMFIELD,61517,PEORIA,8125,-89.8845,40.83859
BROADVIEW PUBLIC LIBRARY DISTRICT,2226 SOUTH 16TH AVENUE,BROADVIEW,60155,COOK,16000,-87.8517,41.86342
BROOKFIELD PUBLIC LIBRARY,3609 GRAND BOULEVARD,BROOKFIELD,60513,COOK,13500,-87.8487,41.82569
MASON MEMORIAL PUBLIC LIBRARY,104 WEST MAIN STREET,BUDA,61314,BUREAU,2206,-89.6795,41.32678
BUNKER HILL PUBLIC LIBRARY DISTRICT,220 EAST WARREN STREET,BUNKER HILL,62014,MACOUPIN,1530,-89.9512,39.04284
LEEPERTOWN TOWNSHIP PUBLIC LIBRARY,201 EAST NEBRASKA STREET,BUREAU,61315,BUREAU,960,-89.366,41.28821
BUSHNELL PUBLIC LIBRARY DISTRICT,455 NORTH DEAN STREET,BUSHNELL,61422,MCDONOUGH,3648,-90.5111,40.55308
BYRON PUBLIC LIBRARY DISTRICT,100 SOUTH WASHINGTON STREET,BYRON,61010,OGLE,27640,-89.2589,42.12526
CAHOKIA PUBLIC LIBRARY DISTRICT,140 CAHOKIA PARK DRIVE,CAHOKIA,62206,ST. CLAIR,6000,-90.172,38.5564
CAIRO PUBLIC LIBRARY,1609 WASHINGTON AVENUE,CAIRO,62914,ALEXANDER,10800,-89.1745,37.00406
CALUMET CITY PUBLIC LIBRARY,660 MANISTEE AVENUE,CALUMET CITY,60409,COOK,40030,-87.5553,41.61644
CALUMET PARK PUBLIC LIBRARY,1500 WEST 127TH STREET,CALUMET PARK,60827,COOK,4000,-87.6586,41.66303
CAMBRIDGE PUBLIC LIBRARY DISTRICT,212 WEST CENTER STREET,CAMBRIDGE,61238,HENRY,9892,-90.1951,41.30276
CAMP POINT PUBLIC LIBRARY DISTRICT,206 EAST STATE STREET,CAMP POINT,62320,ADAMS,3200,-91.0638,40.04197
PARLIN-INGERSOLL PUBLIC LIBRARY,205 WEST CHESTNUT STREET,CANTON,61520,FULTON,19620,-90.0385,40.55711
CARBONDALE PUBLIC LIBRARY,405 WEST MAIN STREET,CARBONDALE,62901,JACKSON,15800,-89.2204,37.72691
CARLINVILLE PUBLIC LIBRARY,510 NORTH BROAD STREET,CARLINVILLE,62626,MACOUPIN,7450,-89.8816,39.28445
CASE-HALSTEAD PUBLIC LIBRARY,550 SIXTH STREET,CARLYLE,62231,CLINTON,3300,-89.365,38.61071
CARMI PUBLIC LIBRARY,103 SLOCUMB STREET,CARMI,62821,WHITE,8560,-88.1648,38.08703
CAROL STREAM PUBLIC LIBRARY,616 HIAWATHA DRIVE,CAROL STREAM,60188,DUPAGE,28358,-88.1288,41.91884
CARROLLTON PUBLIC LIBRARY,509 SOUTH MAIN STREET,CARROLLTON,62016,GREENE,8370,-90.4078,39.30093
ANNE WEST LINDSEY DISTRICT LIBRARY,600 NORTH DIVISION STREET,CARTERVILLE,62918,WILLIAMSON,9287,-89.0772,37.76827
CARTHAGE PUBLIC LIBRARY DISTRICT,500 WABASH AVENUE,CARTHAGE,62321,HANCOCK,8200,-91.1371,40.41232
CARY AREA PUBLIC LIBRARY DISTRICT,1606 THREE OAKS ROAD,CARY,60013,MCHENRY,20150,-88.2302,42.21985
CASEY TOWNSHIP LIBRARY,307 EAST MAIN STREET,CASEY,62420,CLARK,3416,-87.9886,39.30065
CASEYVILLE PUBLIC LIBRARY DISTRICT,419 SOUTH SECOND STREET,CASEYVILLE,62232,ST. CLAIR,3192,-90.0299,38.6367
CATLIN PUBLIC LIBRARY DISTRICT,101 MAPLELEAF DRIVE,CATLIN,61817,VERMILION,3870,-87.7146,40.06526
CENTRAL PUBLIC LIBRARY DISTRICT,701 SOUTH OAK STREET #A,EVANSVILLE,62242,RANDOLPH,748,-89.9341,38.09138
CENTRALIA REGIONAL LIBRARY DISTRICT,515 EAST BROADWAY AVENUE,CENTRALIA,62801,MARION,16325,-89.1288,38.52661
IRVINGTON BRANCH LIBRARY,508 SOUTH 5TH,IRVINGTON,62848,WASHINGTON,864,-89.1616,38.43898
RALPH W. & BERNICE S. SPREHE BRANCH LIBRARY,103 SOUTH BROADWAY,HOFFMAN,62250,CLINTON,755,-89.2638,38.541
SANDOVAL BRANCH LIBRARY,101 NORTH BROADWAY,SANDOVAL,62882,MARION,1035,-89.1294,38.54739
ODIN COMMUNITY BRANCH LIBRARY,219 EAST MAIN STREET,ODIN,62870,MARION,1342,-89.0527,38.61585
HOPE WELTY PUBLIC LIBRARY DISTRICT,100 SOUTH MADISON STREET,CERRO GORDO,61818,PIATT,5313,-88.7303,39.89048
CHADWICK PUBLIC LIBRARY DISTRICT,110 MAIN STREET,CHADWICK,61014,CARROLL,2400,-89.8908,42.01265
CHAMPAIGN PUBLIC LIBRARY,200 WEST GREEN STREET,CHAMPAIGN,61820,CHAMPAIGN,122600,-88.2452,40.1102
DOUGLASS BRANCH LIBRARY,504 EAST GROVE STREET,CHAMPAIGN,61820,CHAMPAIGN,6000,-88.2319,40.12314
CHARLESTON CARNEGIE PUBLIC LIBRARY,712 SIXTH STREET,CHARLESTON,61920,COLES,29000,-88.1753,39.49291
CHATHAM AREA PUBLIC LIBRARY DISTRICT,600 EAST SPRUCE STREET,CHATHAM,62629,SANGAMON,29100,-89.698,39.67235
CHATSWORTH TOWNSHIP LIBRARY,501 EAST SCHOOL STREET,CHATSWORTH,60921,LIVINGSTON,1500,-88.29,40.74988
CHENOA PUBLIC LIBRARY DISTRICT,211 SOUTH DIVISION STREET,CHENOA,61726,MCLEAN,1804,-88.7185,40.74335
CHERRY VALLEY PUBLIC LIBRARY DISTRICT,755 EAST STATE STREET,CHERRY VALLEY,61016,WINNEBAGO,13300,-88.9455,42.23541
CHESTER PUBLIC LIBRARY,733 STATE STREET,CHESTER,62233,RANDOLPH,9108,-89.8262,37.90645
ALBANY PARK BRANCH,5150 NORTH KIMBALL AVENUE,CHICAGO,60625,COOK,10555,-87.7136,41.97478
ALTGELD BRANCH,13281 S. CORLISS AVENUE,CHICAGO,60627,COOK,4000,-87.6022,41.65474
ARCHER HEIGHTS BRANCH,5055 SOUTH ARCHER AVENUE,CHICAGO,60632,COOK,14000,-87.7264,41.80122
AUSTIN BRANCH,5615 WEST RACE AVENUE,CHICAGO,60644,COOK,15035,-87.7667,41.88926
AUSTIN-IRVING BRANCH,6100 WEST IRVING PARK ROAD,CHICAGO,60634,COOK,15500,-87.7793,41.95305
AVALON BRANCH,8148 SOUTH STONY ISLAND AVENUE,CHICAGO,60617,COOK,14000,-87.5859,41.74696
BACK OF THE YARDS BRANCH,2111 WEST 47TH STREET,CHICAGO,60609,COOK,9000,-87.6775,41.80849
BEVERLY BRANCH,1962 WEST 95TH STREET,CHICAGO,60643,COOK,11303,-87.6725,41.72117
BEZAZIAN BRANCH,1226 WEST AINSLIE STREET,CHICAGO,60640,COOK,14125,-87.6607,41.97144
BLACKSTONE BRANCH,4904 SOUTH LAKE PARK AVENUE,CHICAGO,60615,COOK,13794,-87.5893,41.80578
BRAINERD BRANCH,1350 WEST 89TH STREET,CHICAGO,60620,COOK,7000,-87.6572,41.73231
BRIGHTON PARK BRANCH,4314 SOUTH ARCHER AVENUE,CHICAGO,60632,COOK,14000,-87.7026,41.81515
CHICAGO LAWN BRANCH,6120 SOUTH KEDZIE AVENUE,CHICAGO,60629,COOK,10789,-87.7032,41.78203
CHINATOWN BRANCH,2100 SOUTH WENTWORTH AVENUE,CHICAGO,60616,COOK,16000,-87.6318,41.85399
CLEARING BRANCH,6423 WEST 63RD PLACE,CHICAGO,60638,COOK,13700,-87.7821,41.77677
RICHARD J. DALEY BRANCH,3400 SOUTH HALSTED STREET,CHICAGO,60608,COOK,11130,-87.6461,41.83272
DOUGLASS BRANCH,3353 WEST 13TH STREET,CHICAGO,60623,COOK,20830,-87.7097,41.8645
EDGEBROOK BRANCH,5331 WEST DEVON AVENUE,CHICAGO,60646,COOK,15500,-87.7621,41.99722
EDGEWATER BRANCH,1210 WEST ELMDALE AVENUE,CHICAGO,60660,COOK,11000,-87.6608,41.99092
GAGE PARK BRANCH,2807 WEST 55TH STREET,CHICAGO,60632,COOK,1650,-87.694,41.7937
GALEWOOD-MONT CLARE BRANCH,6871 W. BELDEN AVENUE,CHICAGO,60707,COOK,575,-87.7985,41.9211
GARFIELD RIDGE BRANCH,6348 SOUTH ARCHER AVENUE,CHICAGO,60638,COOK,7725,-87.78,41.79289
HALL BRANCH,4801 SOUTH MICHIGAN AVENUE,CHICAGO,60615,COOK,11632,-87.6227,41.8074
HEGEWISCH BRANCH,3048 EAST 130TH STREET,CHICAGO,60633,COOK,12200,-87.5481,41.65918
HUMBOLDT PARK BRANCH,1605 NORTH TROY STREET,CHICAGO,60647,COOK,13000,-87.7056,41.91049
INDEPENDENCE BRANCH,3548 WEST IRVING PARK ROAD,CHICAGO,60618,COOK,8888,-87.7169,41.9539
JEFFERSON PARK BRANCH,5363 WEST LAWRENCE AVENUE,CHICAGO,60630,COOK,11000,-87.7618,41.96761
JEFFERY MANOR BRANCH,2401 EAST 100TH STREET,CHICAGO,60617,COOK,7000,-87.5656,41.71348
KELLY BRANCH,6151 SOUTH NORMAL BOULEVARD,CHICAGO,60621,COOK,15000,-87.6374,41.78236
"MARTIN LUTHER KING, JR. BRANCH",3436 SOUTH KING DRIVE,CHICAGO,60616,COOK,9162,-87.6173,41.83225
LEGLER BRANCH,115 SOUTH PULASKI ROAD,CHICAGO,60624,COOK,36075,-87.7255,41.87941
LINCOLN PARK BRANCH,1150 WEST FULLERTON AVENUE,CHICAGO,60614,COOK,14000,-87.6581,41.92534
LOGAN SQUARE BRANCH,3030 WEST FULLERTON AVENUE,CHICAGO,60647,COOK,14000,-87.7034,41.92483
RUDY LOZANO BRANCH,1805 SOUTH LOOMIS STREET,CHICAGO,60608,COOK,18000,-87.6612,41.85758
MCKINLEY PARK BRANCH,1915 WEST 35TH STREET,CHICAGO,60609,COOK,12800,-87.6734,41.83039
MAYFAIR BRANCH,4400 WEST LAWRENCE AVENUE,CHICAGO,60630,COOK,7300,-87.738,41.96817
MOUNT GREENWOOD BRANCH,11010 SOUTH KEDZIE AVENUE,CHICAGO,60655,COOK,12700,-87.7009,41.69316
NORTH AUSTIN BRANCH,5724 WEST NORTH AVENUE,CHICAGO,60639,COOK,9300,-87.7687,41.90943
NORTH PULASKI BRANCH,4300 WEST NORTH AVENUE,CHICAGO,60639,COOK,6200,-87.7339,41.90988
NORTHTOWN BRANCH,6435 NORTH CALIFORNIA AVENUE,CHICAGO,60645,COOK,10320,-87.6996,41.99837
ORIOLE PARK BRANCH,7454 WEST BALMORAL AVENUE,CHICAGO,60656,COOK,14000,-87.8133,41.97804
PORTAGE-CRAGIN BRANCH,5108 WEST BELMONT AVENUE,CHICAGO,60641,COOK,14000,-87.7546,41.93878
PULLMAN BRANCH,11001 SOUTH INDIANA AVENUE,CHICAGO,60628,COOK,11013,-87.6182,41.69437
RODEN BRANCH,6083 NORTH NORTHWEST HIGHWAY,CHICAGO,60631,COOK,14000,-87.7983,41.99195
ROGERS PARK BRANCH,6907 NORTH CLARK STREET,CHICAGO,60626,COOK,15500,-87.6734,42.00677
ROOSEVELT BRANCH,1101 WEST TAYLOR STREET,CHICAGO,60607,COOK,8000,-87.6543,41.86942
SCOTTSDALE BRANCH,4101 WEST 79TH STREET,CHICAGO,60652,COOK,12500,-87.7244,41.74936
