libname,address,city,zip,cnty,sq_feet,longitude,latitude
CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,PR WALES-OUTER KE,990,-131.575,55.12848
SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,BRISTOL BAY,840,-157.006,58.72987
MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,BRISTOL BAY,1456,-156.989,58.87695
NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760,YUKON-KOYUKUK,2421,-149.095,64.56239
NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,KENAI PENINSULA,3200,-151.674,60.04186
KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,NOME,3086,-165.398,64.50265
PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,MATANUSKA-SUSITNA,11922,-149.112,61.60052
PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,SKAGWAY-ANGOON,1200,-136.225,57.95946
PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,WRANGELL-PETERSBU,9700,-132.954,56.81089
JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,KODIAK ISLAND,1360,-152.884,57.86623
ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,ALEUTIANS WEST,1280,-170.279,57.12076
SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,KENAI PENINSULA,2791,-151.714,59.43871
SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,KENAI PENINSULA,22542,-149.437,60.10194
SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,SITKA,9920,-135.334,57.04968
SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,SKAGWAY-ANGOON,5014,-135.311,59.45864
JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,KENAI PENINSULA,21054,-151.072,60.49245
SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,MATANUSKA-SUSITNA,6258,-148.877,61.71143
TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,MATANUSKA-SUSITNA,7840,-150.089,62.30074
TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,YUKON-KOYUKUK,848,-152.057,65.18317
DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,SKAGWAY-ANGOON,896,-135.227,57.78068
TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,SE FAIRBANK,1019,-141.519,62.89847
VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,VALDEZ-CORDOVA,15000,-146.353,61.12984
WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,MATANUSKA-SUSITNA,24400,-149.429,61.58438
WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,MATANUSKA-SUSITNA,4111,-150.039,61.74536
IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,WRANGELL,5930,-132.387,56.47322
AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,BETHEL,2500,-161.218,60.91118
FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,VALDEZ-CORDOVA,1440,-144.895,61.71404
ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,NORTH SLOPE,2225,-160.024,70.63907
TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,NORTH SLOPE,2849,-166.735,68.34997
NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,NORTH SLOPE,1230,-151.731,68.14692
MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,NORTH SLOPE,800,-157.418,70.48064
HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,NORTH SLOPE,2880,-143.617,70.12936
NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,NORTH SLOPE,1305,-150.993,70.21926
KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,NORTH SLOPE,888,-163.011,69.74284
TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,NORTH SLOPE,11500,-156.753,71.29885
AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,BETHEL,1800,-161.397,60.8887
MOOSE PASS PUBLIC LIBRARY,38100 DEPOT ROAD,MOOSE PASS,99631,KENAI PENINSULA,1200,-149.366,60.4864
TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET,NIKOLAI,99691,YUKON-KOYUKUK,1640,-168.86,52.93941
SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,ALEUTIANS EAST,1950,-160.481,55.35336
EGEGIK VILLAGE LIBRARY,289 AIRPORT ROAD,EGEGIK,99579,LAKE AND PENINSULA,790,-157.357,58.20764
TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,MATANUSKA-SUSITNA,2762,-150.238,62.30724
HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 MAIN STREET,HOLY CROSS,99602,YUKON-KOYUKUK,1450,-160.023,62.05725
OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,99644,KODIAK ISLAND,600,-152.508,57.92117
ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,99591,ALEUTIANS WEST,-3,-169.544528,56.602841
UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,99685,ALEUTIANS WEST,9400,-166.531,53.87127
ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,BETHEL,400,-156.703,61.49699
HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,PR WALES-OUTER,1200,-130.035,55.92413
INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,101 PINE STREET,SHAGELUK,99665,YUKON-KOYUKUK,512,-159.532,62.65484
BLACKWELL COMMUNITY/SCHOOL LIBRARY,100 WHITE SPRUCE TRAIL,ANVIK,99558,YUKON-KOYUKUK,625,-160.196,62.65204
DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,DAVID LOUIS SCHOOL BUILDING,GRAYLING,99590,YUKON-KOYUKUK,576,-160.065,62.90567
LAKE MINCHUMINA COMMUNITY LIBRARY,123 FRONT STREET,LAKE MINCHUMINA,99757,YUKON-KOYUKUK,1100,-152.427,63.84894
IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,99613,LAKE AND PENINSULA,440,-156.573,58.74892
COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY,COFFMAN COVE,99918,PR WALES-OUTER KE,2480,-132.829,56.0137
THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE,THORNE BAY,99919,PR WALES-OUTER KE,1120,-132.523,55.68664
WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,99950,PR WALES-OUTER KE,1500,-133.075,55.78187
TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,2ND AND MAIN STREET,TOGIAK,99678,DILLINGHAM,1300,-160.392,59.06152
KLUKWAN COMMUNITY/SCHOOL LIBRARY,315 MISSION STREET,KLUKWAN,99827,HAINES,1600,-135.894,59.3994
SAMUEL B. FOSS LIBRARY,1 WATERFRONT WAY,PEDRO BAY,99647,LAKE AND PENINSULA,700,-154.121,59.78507
EDNA BAY COMMUNITY LIBRARY,100 SCHOOL HOUSE ROAD,EDNA BAY,99950,PR WALES-OUTER KE,662,-133.075,55.78187
CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST,JASPER,35501,WALKER,20000,-87.2737,33.83346
ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541,WINSTON,6000,-87.2135,34.07597
DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,35553,WINSTON,1500,-87.3833,34.14701
HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,35565,WINSTON,3600,-87.6233,34.22638
JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,35501,WALKER,20000,-87.2737,33.83346
SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,35148,WALKER,2500,-87.0495,33.75111
CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,36264,CLEBURNE,2200,-85.5889,33.6438
CHEAHA REGIONAL BOOKMOBILE,935 COLEMAN STREET,HEFLIN,36264,CLEBURNE,-4,-85.5889,33.6438
ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,36274,RANDOLPH,9000,-85.3702,33.1495
ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH,ASHLAND,36251,CLAY,4000,-85.8378,33.2748
SYLACUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,35150,TALLADEGA,39000,-86.2507,33.17236
CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,35960,CHEROKEE,10243,-85.6763,34.14939
CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,35044,TALLADEGA,9000,-86.3555,33.27713
LINCOLN PUBLIC LIBRARY,47475 US HWY 78,LINCOLN,35096,TALLADEGA,2000,-86.122,33.60373
LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,36266,CLAY,2367,-85.7544,33.31114
HEFLIN - LUCILE MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,36264,CLEBURNE,2400,-85.5878,33.64392
OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,36203,CALHOUN,25000,-85.835,33.60958
TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,35160,TALLADEGA,24323,-86.0993,33.4332
ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,36310,HENRY,4862,-85.2504,31.56727
HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,36345,HENRY,4295,-85.3418,31.35233
BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,36010,PIKE,5926,-85.8156,31.71847
OZARK - DALE COUNTY PUBLIC LIBRARY,416 JAMES STREET,OZARK,36360,DALE,17604,-85.6329,31.45211
CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,36017,BARBOUR,4880,-85.612,31.70873
LOUISVILLE PUBLIC LIBRARY,1951 MAIN STREET,LOUISVILLE,36048,BARBOUR,3234,-85.5553,31.78375
MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVENUE,MIDLAND CITY,36350,DALE,3176,-85.4955,31.31779
NEWTON PUBLIC LIBRARY,209 OATES DRIVE,NEWTON,36352,DALE,6000,-85.5968,31.33197
CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET,CLAYTON,36016,BARBOUR,4040,-85.4496,31.8809
TROY PUBLIC LIBRARY,500 EAST WALNUT STREET,TROY,36079,PIKE,11418,-85.9636,31.80853
UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,36089,BULLOCK,4000,-85.7161,32.14348
ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,COVINGTON,11745,-86.4829,31.30685
BRANTLEY PUBLIC LIBRARY,10 MLK DRIVE,BRANTLEY,36009,CRENSHAW,680,-86.2571,31.58238
ELBA PUBLIC LIBRARY,406 SIMMONS STREET,ELBA,36323,COFFEE,5000,-86.0662,31.41455
GENEVA - EMMA KNOX KENAN LIBRARY,312 SOUTH COMMERCE STREET,GENEVA,36340,GENEVA,2700,-85.8651,31.03642
ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET,ENTERPRISE,36330,COFFEE,12000,-85.8526,31.31418
FLORALA PUBLIC LIBRARY,1214 FOURTH STREET,FLORALA,36442,COVINGTON,3200,-86.3253,31.00823
HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON STREET,HARTFORD,36344,GENEVA,2410,-85.6967,31.0983
LUVERNE PUBLIC LIBRARY,148 EAST THIRD STREET,LUVERNE,36049,CRENSHAW,5000,-86.2609,31.71631
OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET,OPP,36467,COVINGTON,8725,-86.2549,31.30544
SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET,SAMSON,36477,GENEVA,900,-86.0459,31.11664
SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE,SLOCOMB,36375,GENEVA,3528,-85.5936,31.10685
HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET,DADEVILLE,36853,TALLAPOOSA,8300,-85.7654,32.83346
HORSESHOE BEND REGIONAL BOOKMOBILE,207 NORTH WEST STREET,DADEVILLE,36853,TALLAPOOSA,-4,-85.7654,32.83346
ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET,ALEXANDER CITY,35010,TALLAPOOSA,10950,-85.9538,32.94121
MAMIE`S PLACE,284 CHURCH STREET,ALEXANDER CITY,35010,TALLAPOOSA,3250,-85.9538,32.94152
DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET,DADEVILLE,36853,TALLAPOOSA,1864,-85.7654,32.83345
GOODWATER PUBLIC LIBRARY,62 COOSA COUNTY ROAD 66,GOODWATER,35072,COOSA,4600,-86.054,33.06711
AUBURN PUBLIC LIBRARY,749 EAST THACH AVENUE,AUBURN,36830,LEE,34065,-85.4662,32.60443
OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,200 SOUTH 6TH STREET,OPELIKA,36801,LEE,10000,-85.3758,32.64914
MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD,MILLBROOK,36054,ELMORE,6000,-86.3683,32.4829
ROCKFORD PUBLIC LIBRARY,9688 US HWY 231,ROCKFORD,35136,COOSA,820,-86.2196,32.88896
TALLASSEE COMMUNITY PUBLIC LIBRARY,99 FREEMAN AVENUE,TALLASSEE,36078,TALLAPOOSA,5619,-85.8838,32.53471
WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET,WETUMPKA,36092,ELMORE,7000,-86.2057,32.53593
FLORENCE - LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE,FLORENCE,35630,LAUDERDALE,42798,-87.6745,34.80351
TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET,TUSCUMBIA,35674,COLBERT,10350,-87.7034,34.7374
LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,35646,COLBERT,1900,-87.5289,34.70061
MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661,COLBERT,15800,-87.6438,34.74442
ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,35652,LAUDERDALE,6800,-87.292,34.82427
SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE,SHEFFIELD,35660,COLBERT,13000,-87.6985,34.76109
NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594,MARION,8346,-87.8149,33.93087
HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST,HAMILTON,35570,MARION,3650,-87.9931,34.1435
KENNEDY PUBLIC LIBRARY,17885 HIGHWAY 96,KENNEDY,35574,LAMAR,864,-87.9873,33.58492
GUIN - MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43,GUIN,35563,MARION,4000,-87.9152,33.97483
MILLPORT PUBLIC LIBRARY,920 BLACK STREET,MILLPORT,35576,LAMAR,3000,-88.0775,33.56142
RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET,RUSSELLVILLE,35653,FRANKLIN,4000,-87.7303,34.50474
SULLIGENT PUBLIC LIBRARY,514 ELM STREET,SULLIGENT,35586,LAMAR,2778,-88.1317,33.90033
VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST,VERNON,35592,LAMAR,1870,-88.1107,33.75793
RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH,RED BAY,35582,FRANKLIN,5000,-88.1417,34.44051
WINFIELD PUBLIC LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594,MARION,3384,-87.8149,33.93087
ATHENS - LIMESTONE PUBLIC LIBRARY,603 JEFFERSON STREET,ATHENS,35611,LIMESTONE,36000,-86.9723,34.79901
DECATUR PUBLIC LIBRARY,504 CHERRY STREET NE,DECATUR,35602,MORGAN,26000,-86.9816,34.60711
HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW,HARTSELLE,35640,MORGAN,5500,-86.9349,34.44424
LAWRENCE COUNTY PUBLIC LIBRARY,401 COLLEGE STREET,LAWRENCE,35650,MOULTON,5000,-87.2954,34.47608
BALDWIN COUNTY LIBRARY COOPERATIVE,22251 PALMER STREET,ROBERTSDALE,36567,BALDWIN,7600,-87.7168,30.55024
BALDWIN COUNTY LIBRARY COOPERATIVE - BOOKMOBILE,22251 PALMER STREET,ROBERTSDALE,36567,BALDWIN,-4,-87.7168,30.55024
DAPHNE PUBLIC LIBRARY,2607 U.S. HIGHWAY 98,DAPHNE,36526,BALDWIN,20988,-87.905,30.61772
FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE,FAIRHOPE,36532,BALDWIN,39600,-87.9003,30.52306
FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE,FOLEY,36535,BALDWIN,21000,-87.6789,30.40641
BAY MINETTE PUBLIC LIBRARY,205 WEST SECOND STREET,BAY MINETTE,36507,BALDWIN,12200,-87.7767,30.88234
LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE,LOXLEY,36551,BALDWIN,1678,-87.7528,30.61994
OSCAR JOHNSON MEMORIAL LIBRARY,21967 SIXTH STREET,SILVERHILL,36576,BALDWIN,1000,-87.7518,30.54508
ROBERTSDALE PUBLIC LIBRARY,18301 PENNSYLVANIA STREET,ROBERTSDALE,36567,BALDWIN,2000,-87.7119,30.55364
GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,221 WEST 19TH AVENUE,GULF SHORES,36542,BALDWIN,9000,-87.6902,30.27246
ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET,ADAMSVILLE,35005,JEFFERSON,4759,-86.9532,33.60013
BESSEMER PUBLIC LIBRARY,400 19TH STREET N,BESSEMER,35020,JEFFERSON,28657,-86.9547,33.40322
MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,50 OAK STREET,MOUNTAIN BROOK,35213,JEFFERSON,40500,-86.7556,33.50098
FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,4615 GARY AVENUE,FAIRFIELD,35064,JEFFERSON,11410,-86.9152,33.4913
FULTONDALE PUBLIC LIBRARY,500 BYRD LANE,FULTONDALE,35068,JEFFERSON,6595,-86.8508,33.61464
GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,995 MT. OLIVE ROAD,GARDENDALE,35071,JEFFERSON,12715,-86.8186,33.65075
GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET,GRAYSVILLE,35073,JEFFERSON,4800,-86.9733,33.62655
HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD,HOMEWOOD,35209,JEFFERSON,49627,-86.7953,33.47551
HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE,HOOVER,35216,JEFFERSON,85000,-86.8059,33.38883
HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD,HUEYTOWN,35023,JEFFERSON,10000,-86.9969,33.44806
IRONDALE PUBLIC LIBRARY,105 20TH STREET SOUTH,IRONDALE,35210,JEFFERSON,8000,-86.7066,33.53786
LEEDS - JANE CULBRETH LIBRARY,8104 PARKWAY DRIVE,LEEDS,35094,JEFFERSON,5000,-86.5417,33.54351
MIDFIELD PUBLIC LIBRARY,400 BRELAND DRIVE,MIDFIELD,35228,JEFFERSON,2800,-86.9156,33.45765
PLEASANT GROVE PUBLIC LIBRARY,501 PARK ROAD,PLEASANT GROVE,35127,JEFFERSON,4056,-86.9709,33.49099
TARRANT PUBLIC LIBRARY,1143 FORD AVENUE,TARRANT,35217,JEFFERSON,4500,-86.7703,33.58343
